Time [ms],rhoC,ViscosityA,ViscosityB,DensityB,MAF,Power [kW],CurrentA,CurrentB,CurrentC,VoltageA,VoltageB,VoltageC,SmpInjFlow,FlowA,FlowB,DiffFlow,DiffCons,Soot Dilution Eng 1,NO (350
9427,847.890836,3.349339,3.488352,825.276724,0.403981,0.438909,0.720826,0.441746,0.598726,427.195497,444.267826,427.616732,0.041994,1605.682963,1581.613202,24.069761,0.609112,1063.458155,
9602,847.581153,3.34338,3.465076,824.933481,0.349475,0.472666,0.602406,0.514102,0.777968,427.329044,444.388745,427.77467,0.035475,1605.781757,1581.629193,24.152564,0.610454,1060.587169,206.188438
9801,848.377803,3.364028,3.479343,825.190277,0.387898,0.428431,0.64046,0.432443,0.646829,427.019468,444.102746,427.512174,0.039328,1606.305869,1581.60454,24.701328,0.611827,1069.988322,206.188438
10001,847.933056,3.351979,3.464533,825.107091,0.287288,0.453759,0.687548,0.327501,0.810095,427.303413,444.349209,427.873144,0.029381,1605.677931,1581.869002,23.80893,0.61315,1071.445182,206.188438
10203,847.973842,3.354654,3.477619,825.078632,0.209808,0.583909,0.64366,0.317253,1.392108,427.178261,444.15264,427.763514,0.021855,1606.038198,1582.550028,23.48817,0.614455,1064.445189,203.606931
10401,847.240727,3.334119,3.344544,824.876603,0.111811,0.519448,0.707662,0.396874,0.983556,427.377139,444.2706,427.990271,0.01111,1606.082829,1582.038394,24.044435,0.615791,1064.305278,203.606931
10602,849.853256,3.37994,3.37261,825.199504,0.09762,0.387494,0.631599,0.432722,0.48958,427.035683,443.887201,427.639912,0.010188,1606.481578,1581.585222,24.896356,0.617174,1061.11689,203.606931
10802,848.236591,3.332959,3.314594,824.737173,0.078586,0.424891,0.640519,0.557609,0.501059,427.380648,444.241276,428.041569,0.008389,1605.791604,1581.071985,24.719619,0.618547,1065.72838,203.606931
11001,847.340334,3.338061,3.340966,824.871825,0.067229,0.451503,0.945734,0.32261,0.548597,427.206011,444.037138,427.914123,0.006214,1605.952738,1580.964389,24.988349,0.619936,1053.706399,203.606931
11202,850.491478,3.353041,3.34224,825.057902,0.000778,0.385833,0.72395,0.355945,0.468957,427.385592,444.19057,428.116475,0.000321,1605.952703,1581.245721,24.706982,0.621309,1055.448131,202.394718
11401,849.193719,3.372707,3.361204,825.066247,0.023331,0.437899,0.781077,0.483642,0.491366,427.069568,443.836772,427.849745,0.001902,1606.355031,1581.468869,24.886162,0.622691,1052.740461,202.394718
11601,851.796616,3.33728,3.334961,824.703608,-0.007071,0.464384,0.62524,0.574618,0.658399,427.375042,444.123729,428.196432,-0.000832,1605.874922,1581.370024,24.504898,0.624053,1059.02984,202.394718
11807,846.178253,3.376242,3.361641,825.181317,-0.085915,0.442711,0.635659,0.387015,0.755673,427.192231,443.886205,428.040926,-0.008248,1605.948365,1582.015686,23.932679,0.625383,1061.202706,202.394718
12019,847.16305,3.356554,3.330617,825.008302,-0.137794,0.644519,1.169123,0.412136,1.012884,427.373335,444.029867,428.171546,-0.014076,1605.673462,1582.13437,23.539092,0.626691,1065.252099,203.046546
12225,849.656707,3.354662,3.332282,824.850644,-0.158864,0.613406,1.137468,0.615893,0.709416,427.037365,443.614202,427.80292,-0.015624,1605.587537,1581.81255,23.774986,0.628012,1060.230682,203.046546
12447,849.472044,3.413428,3.309655,824.713388,-0.156159,0.417555,0.619325,0.391657,0.664873,427.401369,443.981996,428.106986,-0.015946,1604.836556,1581.504277,23.332279,0.629308,1062.896809,
12601,850.470163,3.444169,3.363312,825.182465,-0.213487,0.390192,0.628171,0.415826,0.520221,427.417317,443.990106,428.12345,-0.02159,1605.38813,1581.613391,23.774738,0.630629,1064.527848,203.046546
12801,848.905146,3.404624,3.342687,824.916545,-0.224856,0.386946,0.614675,0.382935,0.555242,427.298462,443.834671,427.923652,-0.022557,1605.777138,1582.157099,23.620039,0.631941,1065.073817,203.046546
13002,848.762294,3.445456,3.37448,825.317896,-0.239505,0.456571,0.632678,0.59936,0.594767,427.276558,443.753572,427.911579,-0.024248,1606.045377,1582.523858,23.521519,0.633248,1058.921174,203.046546
13202,850.594774,3.391102,3.311763,824.699343,-0.252947,0.500852,0.72953,0.606162,0.669039,427.526478,444.047556,428.140396,-0.025857,1605.748253,1582.13811,23.610143,0.63456,1064.962934,203.018776
13402,846.436493,3.411292,3.378775,824.962249,-0.333616,0.485846,0.778958,0.393569,0.780022,427.438182,443.880987,428.008317,-0.03361,1605.951003,1582.151287,23.799717,0.635882,1056.803853,203.018776
13601,846.057946,3.475962,3.442255,825.418921,-0.32356,0.53816,1.04286,0.304207,0.821514,427.334026,443.735285,427.849535,-0.032767,1606.313346,1581.907444,24.405902,0.637238,1069.648698,203.018776
13801,845.274002,3.454925,3.411296,825.1741,-0.416817,0.501631,0.934809,0.367933,0.714175,427.623911,443.9739,428.117486,-0.042496,1606.138151,1581.608417,24.529734,0.638601,1063.914986,203.018776
14000,849.316281,3.427814,3.405481,825.035019,-0.456661,0.401565,0.637286,0.380407,0.594423,427.454704,443.752346,427.8334,-0.046096,1605.78131,1581.484689,24.296621,0.639951,1073.250421,203.018776
14202,848.776641,3.403411,3.377243,824.827946,-0.506099,0.413063,0.72397,0.351733,0.584449,427.405388,443.634332,427.712284,-0.050407,1605.505621,1581.986385,23.519237,0.641258,1065.562741,211.249491
14401,846.612957,3.409429,3.363121,824.796923,-0.528127,0.508502,0.881696,0.411334,0.749748,427.775541,444.040882,428.056151,-0.053208,1606.181104,1582.130631,24.050474,0.642594,1077.234236,211.249491
14621,848.611654,3.378446,3.354125,824.45772,-0.571515,0.420868,0.643929,0.332319,0.715856,427.549421,443.74631,427.722536,-0.058106,1605.908462,1581.970204,23.938258,0.643925,1064.447307,
14800,845.423003,3.45861,3.434601,825.461488,-0.537397,0.518686,1.033351,0.48871,0.559742,427.675643,443.942957,427.862919,-0.054152,1605.782443,1581.729327,24.053115,0.645261,1069.666889,211.249491
15000,847.812954,3.382933,3.357204,824.740392,-0.586574,0.650039,1.271779,0.485341,0.857844,427.520182,443.724867,427.621607,-0.059162,1605.265413,1581.850241,23.415172,0.646562,1062.8291,211.249491
